case,tier,python_runtime_ms,matlab_runtime_ms,python_to_matlab_ratio,max_allowed_ratio,ratio_pass,python_peak_memory_mb,previous_python_runtime_ms,python_vs_previous_ratio,regression_pass,status
covariate_resample,L,0.9690420120023191,1.9472083333333334,0.4976570793241533,3.0,True,0.23737525939941406,0.9690420120023191,1.0,True,ok
covariate_resample,M,0.8639160078018904,2.8751666666666664,0.30047510560612967,3.0,True,0.1353321075439453,0.8639160078018904,1.0,True,ok
covariate_resample,S,0.37954199069645256,2.6329166666666666,0.14415267885290176,3.0,True,0.061981201171875,0.37954199069645256,1.0,True,ok
decoding_spike_rate_cis,L,99.45741599949542,26.472458333333336,3.7570147338474262,4.0,True,2.7344188690185547,99.45741599949542,1.0,True,ok
decoding_spike_rate_cis,M,45.79670800012536,15.00275,3.0525542317325396,4.0,True,0.7647151947021484,45.79670800012536,1.0,True,ok
decoding_spike_rate_cis,S,20.557166004437022,17.276083333333336,1.1899205165775626,4.0,True,0.23363685607910156,20.557166004437022,1.0,True,ok
history_design_matrix,L,16.20729199203197,13.820333333333334,1.172713537447141,3.0,True,0.8869171142578125,16.20729199203197,1.0,True,ok
history_design_matrix,M,5.126874995767139,12.951875,0.3958403702758974,3.0,True,0.436859130859375,5.126874995767139,1.0,True,ok
history_design_matrix,S,0.7950409926706925,15.547416666666665,0.05113653346508965,3.0,True,0.08904266357421875,0.7950409926706925,1.0,True,ok
simulate_cif_thinning,L,95.53704199788626,11.125333333333332,8.587341982072711,5.0,False,0.20084762573242188,95.53704199788626,1.0,True,needs_attention
simulate_cif_thinning,M,35.64529199502431,10.393083333333333,3.429712901531401,5.0,True,0.13432693481445312,35.64529199502431,1.0,True,ok
simulate_cif_thinning,S,11.668874998576939,18.6335,0.6262309817574229,5.0,True,0.07119369506835938,11.668874998576939,1.0,True,ok
unit_impulse_basis,L,9.582500002579764,6.3590833333333325,1.5068995797475682,3.0,True,18.434642791748047,9.582500002579764,1.0,True,ok
unit_impulse_basis,M,4.475333000300452,2.7357083333333336,1.635895517724094,3.0,True,3.1384315490722656,4.475333000300452,1.0,True,ok
unit_impulse_basis,S,1.7683329933788627,4.297083333333333,0.4115193623687841,3.0,True,0.4534463882446289,1.7683329933788627,1.0,True,ok
